sourceGenusName	sourceSubgenusName	sourceSpecificEpithetName	Trypanosoma sp.	interactionTypeName	interactionTypeId		Host Species	Geographic Location	Geographic Location	referencePMID	referenceDoi	referenceCitation	Ref.
Trypanosoma	Megatrypanum	heybergi	T. heybergi	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Nycteris hispida	Nycteris hispida  Nycteris capensis  Pipistrellus kuhlii	Congo	CongoKenyaEgypt	12557932		el-Rahman AR, Monib Mel-S, Hassan AA, Ghanam ME, Shataat MA, el-Damarany M. Studies on the megatrypanum trypanosomes of the Egyptian bat (Pipistrellum kuhli) from Sohag Governorate, Egypt. J Egypt Soc Parasitol. 2001 Apr;31(1):87-93. PMID: 12557932.	[24,81]
Trypanosoma	Megatrypanum	heybergi	T. heybergi	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Nycteris capensis	Nycteris hispida  Nycteris capensis  Pipistrellus kuhlii	Congo	CongoKenyaEgypt	12557932		el-Rahman AR, Monib Mel-S, Hassan AA, Ghanam ME, Shataat MA, el-Damarany M. Studies on the megatrypanum trypanosomes of the Egyptian bat (Pipistrellum kuhli) from Sohag Governorate, Egypt. J Egypt Soc Parasitol. 2001 Apr;31(1):87-93. PMID: 12557932.	[24,81]
Trypanosoma	Megatrypanum	heybergi	T. heybergi	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Pipistrellus kuhlii	Nycteris hispida  Nycteris capensis  Pipistrellus kuhlii	Congo	CongoKenyaEgypt	12557932		el-Rahman AR, Monib Mel-S, Hassan AA, Ghanam ME, Shataat MA, el-Damarany M. Studies on the megatrypanum trypanosomes of the Egyptian bat (Pipistrellum kuhli) from Sohag Governorate, Egypt. J Egypt Soc Parasitol. 2001 Apr;31(1):87-93. PMID: 12557932.	[24,81]
Trypanosoma	Megatrypanum	heybergi	T. heybergi	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Nycteris hispida	Nycteris hispida  Nycteris capensis  Pipistrellus kuhlii	Kenya	CongoKenyaEgypt	12557932		el-Rahman AR, Monib Mel-S, Hassan AA, Ghanam ME, Shataat MA, el-Damarany M. Studies on the megatrypanum trypanosomes of the Egyptian bat (Pipistrellum kuhli) from Sohag Governorate, Egypt. J Egypt Soc Parasitol. 2001 Apr;31(1):87-93. PMID: 12557932.	[24,81]
Trypanosoma	Megatrypanum	heybergi	T. heybergi	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Nycteris capensis	Nycteris hispida  Nycteris capensis  Pipistrellus kuhlii	Kenya	CongoKenyaEgypt	12557932		el-Rahman AR, Monib Mel-S, Hassan AA, Ghanam ME, Shataat MA, el-Damarany M. Studies on the megatrypanum trypanosomes of the Egyptian bat (Pipistrellum kuhli) from Sohag Governorate, Egypt. J Egypt Soc Parasitol. 2001 Apr;31(1):87-93. PMID: 12557932.	[24,81]
Trypanosoma	Megatrypanum	heybergi	T. heybergi	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Pipistrellus kuhlii	Nycteris hispida  Nycteris capensis  Pipistrellus kuhlii	Kenya	CongoKenyaEgypt	12557932		el-Rahman AR, Monib Mel-S, Hassan AA, Ghanam ME, Shataat MA, el-Damarany M. Studies on the megatrypanum trypanosomes of the Egyptian bat (Pipistrellum kuhli) from Sohag Governorate, Egypt. J Egypt Soc Parasitol. 2001 Apr;31(1):87-93. PMID: 12557932.	[24,81]
Trypanosoma	Megatrypanum	heybergi	T. heybergi	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Nycteris hispida	Nycteris hispida  Nycteris capensis  Pipistrellus kuhlii	Egypt	CongoKenyaEgypt	12557932		el-Rahman AR, Monib Mel-S, Hassan AA, Ghanam ME, Shataat MA, el-Damarany M. Studies on the megatrypanum trypanosomes of the Egyptian bat (Pipistrellum kuhli) from Sohag Governorate, Egypt. J Egypt Soc Parasitol. 2001 Apr;31(1):87-93. PMID: 12557932.	[24,81]
Trypanosoma	Megatrypanum	heybergi	T. heybergi	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Nycteris capensis	Nycteris hispida  Nycteris capensis  Pipistrellus kuhlii	Egypt	CongoKenyaEgypt	12557932		el-Rahman AR, Monib Mel-S, Hassan AA, Ghanam ME, Shataat MA, el-Damarany M. Studies on the megatrypanum trypanosomes of the Egyptian bat (Pipistrellum kuhli) from Sohag Governorate, Egypt. J Egypt Soc Parasitol. 2001 Apr;31(1):87-93. PMID: 12557932.	[24,81]
Trypanosoma	Megatrypanum	heybergi	T. heybergi	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Pipistrellus kuhlii	Nycteris hispida  Nycteris capensis  Pipistrellus kuhlii	Egypt	CongoKenyaEgypt	12557932		el-Rahman AR, Monib Mel-S, Hassan AA, Ghanam ME, Shataat MA, el-Damarany M. Studies on the megatrypanum trypanosomes of the Egyptian bat (Pipistrellum kuhli) from Sohag Governorate, Egypt. J Egypt Soc Parasitol. 2001 Apr;31(1):87-93. PMID: 12557932.	[24,81]
Trypanosoma	Megatrypanum	heybergi	T. heybergi	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Nycteris hispida	Nycteris hispida  Nycteris capensis  Pipistrellus kuhlii	Congo	CongoKenyaEgypt			Rodhain, J. "Trypanosome d'un Cheiroptère insectivore Nycteris hispida Schreber au Congo belge." Bulletin de la Société de Pathologie exotique 16.9 (1923).	[24,81]
Trypanosoma	Megatrypanum	heybergi	T. heybergi	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Nycteris capensis	Nycteris hispida  Nycteris capensis  Pipistrellus kuhlii	Congo	CongoKenyaEgypt			Rodhain, J. "Trypanosome d'un Cheiroptère insectivore Nycteris hispida Schreber au Congo belge." Bulletin de la Société de Pathologie exotique 16.9 (1923).	[24,81]
Trypanosoma	Megatrypanum	heybergi	T. heybergi	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Pipistrellus kuhlii	Nycteris hispida  Nycteris capensis  Pipistrellus kuhlii	Congo	CongoKenyaEgypt			Rodhain, J. "Trypanosome d'un Cheiroptère insectivore Nycteris hispida Schreber au Congo belge." Bulletin de la Société de Pathologie exotique 16.9 (1923).	[24,81]
Trypanosoma	Megatrypanum	heybergi	T. heybergi	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Nycteris hispida	Nycteris hispida  Nycteris capensis  Pipistrellus kuhlii	Kenya	CongoKenyaEgypt			Rodhain, J. "Trypanosome d'un Cheiroptère insectivore Nycteris hispida Schreber au Congo belge." Bulletin de la Société de Pathologie exotique 16.9 (1923).	[24,81]
Trypanosoma	Megatrypanum	heybergi	T. heybergi	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Nycteris capensis	Nycteris hispida  Nycteris capensis  Pipistrellus kuhlii	Kenya	CongoKenyaEgypt			Rodhain, J. "Trypanosome d'un Cheiroptère insectivore Nycteris hispida Schreber au Congo belge." Bulletin de la Société de Pathologie exotique 16.9 (1923).	[24,81]
Trypanosoma	Megatrypanum	heybergi	T. heybergi	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Pipistrellus kuhlii	Nycteris hispida  Nycteris capensis  Pipistrellus kuhlii	Kenya	CongoKenyaEgypt			Rodhain, J. "Trypanosome d'un Cheiroptère insectivore Nycteris hispida Schreber au Congo belge." Bulletin de la Société de Pathologie exotique 16.9 (1923).	[24,81]
Trypanosoma	Megatrypanum	heybergi	T. heybergi	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Nycteris hispida	Nycteris hispida  Nycteris capensis  Pipistrellus kuhlii	Egypt	CongoKenyaEgypt			Rodhain, J. "Trypanosome d'un Cheiroptère insectivore Nycteris hispida Schreber au Congo belge." Bulletin de la Société de Pathologie exotique 16.9 (1923).	[24,81]
Trypanosoma	Megatrypanum	heybergi	T. heybergi	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Nycteris capensis	Nycteris hispida  Nycteris capensis  Pipistrellus kuhlii	Egypt	CongoKenyaEgypt			Rodhain, J. "Trypanosome d'un Cheiroptère insectivore Nycteris hispida Schreber au Congo belge." Bulletin de la Société de Pathologie exotique 16.9 (1923).	[24,81]
Trypanosoma	Megatrypanum	heybergi	T. heybergi	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Pipistrellus kuhlii	Nycteris hispida  Nycteris capensis  Pipistrellus kuhlii	Egypt	CongoKenyaEgypt			Rodhain, J. "Trypanosome d'un Cheiroptère insectivore Nycteris hispida Schreber au Congo belge." Bulletin de la Société de Pathologie exotique 16.9 (1923).	[24,81]
Trypanosoma	Megatrypanum	incertum	T. incertum	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Pipistrellus pipistrellu	Pipistrellus pipistrellu	United Kingdom	United Kingdom	3405632	10.1017/s0031182000080082 	Gardner RA, Molyneux DH. Trypanosoma (Megatrypanum) incertum from Pipistrellus pipistrellus: development and transmission by cimicid bugs. Parasitology. 1988 Jun;96 ( Pt 3):433-47. doi: 10.1017/s0031182000080082. PMID: 3405632.	[32]
Trypanosoma	Megatrypanum	leleupi	T. leleupi	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Hipposideros caffer	Hipposideros caffer	Congo	Congo			Hoare, Cecil A. "The trypanosomes of mammals. A zoological monograph." The trypanosomes of mammals. A zoological monograph. (1972).	[5,82]
Trypanosoma	Megatrypanum	leleupi	T. leleupi	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Hipposideros caffer	Hipposideros caffer	Congo	Congo	14857556	10.1051/parasite/1951263133 	RODHAIN J. Trypanosoma leleupi n. sp., parasite de Hipposideros caffer au Katanga [Trypanosoma leleupi n. sp., parasite of Hipposideros caffer in Katanga]. Ann Parasitol Hum Comp. 1951;26(3):133-7. Undetermined Language. doi: 10.1051/parasite/1951263133. PMID: 14857556.	[5,82]
Trypanosoma	Megatrypanum	leonidasdeanei	T. leonidasdeanei	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Saccopterix bilineata	Saccopterix bilineata	Costa Rica	Costa Rica			Hoare, Cecil A. "The trypanosomes of mammals. A zoological monograph." The trypanosomes of mammals. A zoological monograph. (1972).	[5,83]
Trypanosoma	Megatrypanum	leonidasdeanei	T. leonidasdeanei	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Saccopterix bilineata	Saccopterix bilineata	Costa Rica	Costa Rica	5392759	10.1080/00034983.1969.11686623 	Zeledón R, Rosabal R. Trypanosoma leonidasdeanei sp. nov. in insectivorous bats of Costa Rica. Ann Trop Med Parasitol. 1969 Jun;63(2):221-8. doi: 10.1080/00034983.1969.11686623. PMID: 5392759.	[5,83]
